가게이름,업종분류,대표메뉴,평균가격,주타겟층,상권분류
중앙동 탕후루전문점 3호점,카페/디저트,딸기탕후루,3000,10-20대,중앙동로데오
로데오 캐주얼파스타 3호점,일반음식점,토마토 파스타,8900,10-30대,중앙동로데오
중앙동 감성포차 3호점,유흥/성인,트렌디 안주류,15000,20-30대,중앙동로데오
SPAO 안산중앙점 4호점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점 4호점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점 4호점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점 4호점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점 4호점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점 4호점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점 4호점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점 4호점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점 4호점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점 4호점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점 4호점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점 4호점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점 4호점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점 4호점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점 4호점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점 4호점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점 4호점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점 4호점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점 4호점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점 4호점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점 4호점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점 4호점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점 4호점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점 4호점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점 4호점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점 4호점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점 4호점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점 4호점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점 4호점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 중앙점 4호점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점 4호점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점 4호점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
중앙동 보세의류 편집숍 4호점,패션/쇼핑,트렌디 셔츠,18000,10-20대,중앙동로데오
중앙동 빈티지숍 4호점,패션/쇼핑,구제의류,15000,10-20대,중앙동로데오
로데오 소품액세서리점 4호점,패션/쇼핑,캐릭터 키링,4500,10-20대,중앙동로데오
중앙로데오 타로사주 4호점,학생편의,학업/연애 타로,5000,10-20대,중앙동로데오
중앙동 탕후루전문점 4호점,카페/디저트,딸기탕후루,3000,10-20대,중앙동로데오
로데오 캐주얼파스타 4호점,일반음식점,토마토 파스타,8900,10-30대,중앙동로데오
중앙동 감성포차 4호점,유흥/성인,트렌디 안주류,15000,20-30대,중앙동로데오
SPAO 안산중앙점 5호점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점 5호점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점 5호점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점 5호점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점 5호점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
라화공방마라탕 중앙점 5호점,학생편의,마라탕꿔바로우세트,8500,10-20대,중앙동로데오
디저트39 안산중앙점 5호점,카페/디저트,대용량아메리카노,2900,10-30대,중앙동로데오
빽다방 안산중앙역점 5호점,카페/디저트,아이스아메리카노,2000,10-40대,중앙동로데오
메가MGC커피 안산중앙로데오점 5호점,카페/디저트,메가리카노,3000,10-50대,중앙동로데오
컴포즈커피 안산중앙점 5호점,카페/디저트,아메리카노,1500,10-40대,중앙동로데오
아마스빈 안산중앙점 5호점,카페/디저트,타피오카밀크티,4200,10-20대,중앙동로데오
공차 안산중앙점 5호점,카페/디저트,블랙밀크티펄,4700,10-20대,중앙동로데오
설빙 안산중앙점 5호점,카페/디저트,인절미설빙,9500,10-30대,중앙동로데오
인생네컷 안산중앙로데오점 5호점,학생편의,4컷사진(2장),4000,10-20대,중앙동로데오
포토이즘박스 안산중앙점 5호점,학생편의,네컷사진,4000,10-20대,중앙동로데오
하루필름 안산중앙점 5호점,학생편의,증명/네컷사진,5000,10-20대,중앙동로데오
아이센스리그PC방 중앙역점 5호점,학생편의,PC이용+라면세트,6500,10-20대,중앙동로데오
락휴코인노래연습장 안산중앙점 5호점,학생편의,코인노래(4곡),1000,10-20대,중앙동로데오
세븐스타코인노래방 중앙역점 5호점,학생편의,코인노래(12곡),3000,10-20대,중앙동로데오
못된고양이 안산중앙점 5호점,패션/쇼핑,액세서리/귀걸이,5000,10-20대,중앙동로데오
아트박스 안산중앙점 5호점,학생편의,디자인문구/팬시,4000,10-30대,중앙동로데오
명랑핫도그 안산중앙점 5호점,학생편의,통모짜핫도그,3000,10-30대,중앙동로데오
신전떡볶이 안산중앙점 5호점,학생편의,떡튀순세트,8000,10-20대,중앙동로데오
동대문엽기떡볶이 중앙로데오점 5호점,학생편의,엽기떡볶이,14000,10-20대,중앙동로데오
청년다방 안산중앙점 5호점,학생편의,차돌떡볶이,17500,10-20대,중앙동로데오
맘스터치 안산중앙점 5호점,학생편의,싸이버거세트,6900,10-30대,중앙동로데오
롯데리아 안산중앙점 5호점,학생편의,데리버거세트,5600,10-40대,중앙동로데오
버거킹 안산중앙역점 5호점,학생편의,와퍼주니어세트,6900,10-40대,중앙동로데오
서브웨이 안산중앙점 5호점,학생편의,이탈리안비엠티,6700,10-30대,중앙동로데오
보드게임카페 레드버튼 중앙점 5호점,학생편의,1시간이용료,3000,10-20대,중앙동로데오
히어로보드게임카페 안산중앙점 5호점,학생편의,보드게임+음료셋,7500,10-20대,중앙동로데오
안산스시로 중앙점 5호점,일반음식점,회전초밥(기본),15000,10-40대,중앙동로데오
중앙동 보세의류 편집숍 5호점,패션/쇼핑,트렌디 셔츠,18000,10-20대,중앙동로데오
중앙동 빈티지숍 5호점,패션/쇼핑,구제의류,15000,10-20대,중앙동로데오
로데오 소품액세서리점 5호점,패션/쇼핑,캐릭터 키링,4500,10-20대,중앙동로데오
중앙로데오 타로사주 5호점,학생편의,학업/연애 타로,5000,10-20대,중앙동로데오
중앙동 탕후루전문점 5호점,카페/디저트,딸기탕후루,3000,10-20대,중앙동로데오
로데오 캐주얼파스타 5호점,일반음식점,토마토 파스타,8900,10-30대,중앙동로데오
중앙동 감성포차 5호점,유흥/성인,트렌디 안주류,15000,20-30대,중앙동로데오
SPAO 안산중앙점 6호점,패션/쇼핑,의류/패션잡화,29000,10-20대,중앙동로데오
탑텐 안산중앙점 6호점,패션/쇼핑,베이직티셔츠,15000,10-30대,중앙동로데오
올리브영 안산중앙점 6호점,패션/쇼핑,화장품/뷰티소품,12000,10-30대,중앙동로데오
두끼 안산중앙점 6호점,학생편의,학생무한리필뷔페,9900,10-20대,중앙동로데오
탕화쿵푸마라탕 중앙역점 6호점,학생편의,마라탕(기본),7500,10-20대,중앙동로데오
